,municipio_codigo
0,4127700
1,4114609
2,4104659
3,4104907
4,4116703
5,4204301
6,4208401
7,4102000
8,4103453
9,4102109
10,1703909
11,1507953
12,1716505
13,1700400
14,1716604
15,1721000
16,1715754
17,1507300
18,1701903
19,1722107
20,2914505
21,2931905
22,2915809
23,2910503
24,2925501
25,2924801
26,2311405
27,2922102
28,2921203
29,2926202
30,3148103
31,3511607
32,3148004
33,3169307
34,3107109
35,3539905
36,3554508
37,3549805
38,3135704
39,3129509
40,5007901
41,5107958
42,5002407
43,5003702
44,5218805
45,5217401
46,5205109
47,5005707
48,5105150
49,5211909
