,municipio_codigo,sum,Nome_UF,Nome_Município,codigo_municipio,variacao_area_plantada,variacao_area_colhida,variacao_razao_plantio_colheita,variacao_porte_de_empresa_GRANDE,variacao_porte_de_empresa_MICRO,variacao_porte_de_empresa_MÉDIA,variacao_porte_de_empresa_PEQUENA
0,3100104,23605631.939999994,Minas Gerais,Abadia dos Dourados,3100104.0,1379.0,1379.0,0.0,0.0,1.0,0.0,6.0
1,5200100,18874102.709999997,Goiás,Abadiânia,5200100.0,5546.0,5566.0,0.005012531328320802,0.0,0.0,0.0,1.0
2,3100203,53681032.97000001,Minas Gerais,Abaeté,3100203.0,-1631.0,-1631.0,0.0,0.0,-8.0,0.0,11.0
3,1500107,591035.5099999999,Pará,Abaetetuba,1500107.0,24020.0,24020.0,0.0,0.0,-2.0,0.0,0.0
4,2900108,3916209.85,Bahia,Abaíra,2900108.0,-1232.0,-1232.0,0.0,0.0,0.0,0.0,1.0
5,2900207,8673448.06,Bahia,Abaré,2900207.0,1621.0,1621.0,0.0,0.0,-4.0,0.0,0.0
6,4100103,27926768.01,Paraná,Abatiá,4100103.0,12563.0,12563.0,0.0,0.0,-8.0,0.0,1.0
7,4200051,12454987.869999997,Santa Catarina,Abdon Batista,4200051.0,-646.0,-646.0,0.0,0.0,11.0,0.0,0.0
8,1500131,5395685.32,Pará,Abel Figueiredo,1500131.0,2361.0,2361.0,0.0,0.0,1.0,0.0,3.0
9,4200101,254029866.85999995,Santa Catarina,Abelardo Luz,4200101.0,24388.0,23388.0,-0.015433289605679468,-1.0,18.0,7.0,26.0
10,3100302,7060849.719999999,Minas Gerais,Abre Campo,3100302.0,-3524.0,-3524.0,0.0,0.0,9.0,0.0,0.0
11,1700251,23126255.769999996,Tocantins,Abreulândia,1700251.0,10305.0,10325.0,0.05555555555555558,0.0,0.0,2.0,6.0
12,2100055,113011413.61000001,Maranhão,Açailândia,2100055.0,50965.0,50965.0,0.0,0.0,-1.0,8.0,11.0
13,2300200,10162148.869999997,Ceará,Acaraú,2300200.0,-7622.0,-8398.0,-0.04143749666257279,0.0,-5.0,0.0,1.0
14,2400109,533535.98,Rio Grande do Norte,Acari,2400109.0,-178.0,-178.0,0.0,0.0,-1.0,0.0,0.0
15,2200053,246629.93,Piauí,Acauã,2200053.0,949.0,-2531.0,-0.6433721575152523,0.0,-2.0,0.0,0.0
16,4300034,116091234.0,Rio Grande do Sul,Aceguá,4300034.0,,,,0.0,12.0,0.0,11.0
